run_id,makespan,energy,utilization,sla_violation
151,880.7,495850.37,0.8421,0.0173
152,924.4,557465.59,0.8577,0.0535
153,943.63,527239.24,0.8241,0.0444
154,958.35,475798.17,0.8251,0.1006
155,953.09,473400.99,0.8024,0.0512
156,1007.51,502778.9,0.8271,0.06
157,778.81,488654.45,0.8697,0.0096
158,926.4,503330.05,0.825,0.0584
159,985.64,474105.12,0.8108,0.0716
160,902.09,490726.63,0.8168,0.0561
161,902.77,462570.37,0.8572,0.0453
162,945.75,525154.45,0.8089,0.0654
163,1002.26,518485.98,0.7912,0.0624
164,950.34,535697.55,0.8161,0.0632
165,1014.14,560580.58,0.7875,0.0647
166,920.01,492073.76,0.8437,0.0648
167,893.68,530635.26,0.8983,0.0303
168,908.22,458278.07,0.8026,0.0961
169,909.2,422930.63,0.8618,0.0393
170,890.18,517492.0,0.8409,0.0299
171,1025.71,487334.25,0.8308,0.0896
172,1016.83,503568.59,0.798,0.0905
173,841.76,543465.92,0.8793,0.0335
174,835.68,508661.68,0.877,0.0416
175,1037.93,534301.27,0.7397,0.0945
176,985.89,499359.31,0.8413,0.1188
177,1038.59,550835.74,0.8059,0.0522
178,823.38,460701.83,0.8689,0.062
179,1033.69,529601.04,0.8144,0.0441
180,851.15,445127.02,0.8443,0.0492
181,847.58,460938.51,0.8552,0.0469
182,1003.19,505904.54,0.7785,0.0795
183,944.54,472412.44,0.7971,0.0438
184,997.63,494978.53,0.8165,0.0629
185,970.82,496051.79,0.8417,0.0592
186,1098.97,551258.0,0.7984,0.1022
187,1037.5,510393.3,0.7877,0.0429
188,848.1,476415.2,0.8535,0.0622
189,1179.64,649908.31,0.8058,0.066
190,1066.64,561761.56,0.8022,0.0771
191,1079.9,556209.39,0.7841,0.0827
192,942.48,514331.51,0.8476,0.0675
193,944.07,554522.01,0.8331,0.0439
194,886.13,509861.01,0.8069,0.0663
195,1018.69,504078.08,0.8568,0.0277
196,1002.34,545468.66,0.8009,0.0886
197,981.18,529061.82,0.8065,0.0529
198,901.03,470879.06,0.824,0.0671
199,1012.33,576489.01,0.8092,0.0632
200,925.27,459752.9,0.8205,0.0492
201,877.75,528926.57,0.8865,0.0663
