run_id,makespan,energy,utilization,sla_violation,F,w1_ms,w2_en,w3_ruDown,w4_sla,row_index
379.0,747.53,456570.47,0.8961,0.0295,0.10242703844096443,0.46866816395569766,0.09187815679186613,0.197677716258983,0.2417759629934532,379
451.0,864.71,452071.83,0.9181,0.001,0.07784459044914312,0.013330767443882018,0.34148150665293486,0.6227333076279054,0.022454418275277867,451
451.0,864.71,452071.83,0.9181,0.001,0.11949782108245183,0.19305555610992023,0.3205001369517756,0.3449679934201134,0.14147631351819076,451
379.0,747.53,456570.47,0.8961,0.0295,0.10650173183540543,0.4445359818144302,0.12767201611332063,0.2071646031379439,0.2206273989343054,379
379.0,747.53,456570.47,0.8961,0.0295,0.07693721652826317,0.5623397096646237,0.06903895025606836,0.23789914592799813,0.13072219415131,379
451.0,864.71,452071.83,0.9181,0.001,0.06469539069415861,0.10476256743991215,0.16053901518886632,0.42453439512277197,0.31016402224844963,451
451.0,864.71,452071.83,0.9181,0.001,0.036773472304223585,0.10977456373712961,0.010645982733183604,0.4645210019622128,0.41505845156747395,451
451.0,864.71,452071.83,0.9181,0.001,0.07289469036987709,0.16293795736779798,0.11210049326841622,0.6163837591547093,0.10857779020907637,451
451.0,864.71,452071.83,0.9181,0.001,0.09911088400457717,0.018112370438022128,0.4473537514395141,0.5269101216235847,0.0076237564988791365,451
19.0,826.59,403180.9,0.8588,0.0519,0.14699053988944616,0.21275559155270485,0.5125101061128539,0.08178416059042898,0.19295014174401232,19
451.0,864.71,452071.83,0.9181,0.001,0.08015177350315399,0.07121850256813093,0.3053672393086437,0.031107454422962717,0.5923068037002626,451
19.0,826.59,403180.9,0.8588,0.0519,0.1259643862432238,0.31612086732186245,0.5074245433830713,0.06921353853684874,0.10724105075821745,19
379.0,747.53,456570.47,0.8961,0.0295,0.1452572086737894,0.2706875200225383,0.450673051174237,0.17115090021586984,0.10748852858735486,379
451.0,864.71,452071.83,0.9181,0.001,0.05838420666701885,0.000331446856801545,0.2774640400358108,0.31435736193119396,0.4078471511761936,451
379.0,747.53,456570.47,0.8961,0.0295,0.09311837798325065,0.5749634120607946,0.24533424740433976,0.018376344620705976,0.16132599591415955,379
451.0,864.71,452071.83,0.9181,0.001,0.0921167100512586,0.12897352421284497,0.28279443423192946,0.10473149150277075,0.4835005500524549,451
379.0,747.53,456570.47,0.8961,0.0295,0.09208436866706057,0.5559806291792029,0.005799274932192599,0.1123695135392145,0.32585058234939007,379
379.0,747.53,456570.47,0.8961,0.0295,0.06990188620204513,0.6495853419808673,0.14152307546307832,0.09356562887690173,0.11532595367915281,379
451.0,864.71,452071.83,0.9181,0.001,0.04613028552264827,0.025194220803531047,0.18451781802794556,0.25948689981153567,0.5308010613569877,451
613.0,875.41,416324.64,0.837,0.0227,0.1423704473814478,0.18946212429012962,0.49589637030451095,0.01433395296237408,0.3003075524429854,613
